description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
Floor length chiffon bridesmaid dress with pleated bodice and V neckline, A-line, Chiffon, V-neck, Sleeveless, Floor, Pleated, Sage, Bridesmaid
Sparkly sequin fitted prom gown featuring a deep illusion neckline and open back, Fitted, Sequin, Illusion, Sleeveless, Floor, Sparkly, Silver, Prom
Off shoulder satin ball gown with corset bodice and sweep train in royal navy, Ball Gown, Satin, Off-shoulder, Sleeveless, Floor, Corset, Navy, Formal
Lace mermaid wedding dress with long sleeves and scalloped hem, Mermaid, Lace, Scoop, Long, Floor, Scalloped, White, Wedding
Short cocktail dress with feather trim and beaded waist detail, Sheath, Crepe, Round, Short, Short, Feather/Beaded, Black, Cocktail
Tulle A line evening gown with floral embroidery and cap sleeves, A-line, Tulle, Round, Cap, Floor, Embroidery, Pink, Evening
Stretch jersey sheath dress with ruched waist and side slit, Sheath, Jersey, Round, Sleeveless, Knee, Ruched, Red, Casual
Strapless sweetheart neckline glitter gown with layered skirt, Ball Gown, Glitter, Sweetheart, Strapless, Floor, Layered, Gold, Formal
One shoulder draped chiffon dress with high slit and empire waist, Empire, Chiffon, One-shoulder, Sleeveless, Floor, Draped, Green, Bridesmaid
Velvet winter formal dress with square neckline and puff sleeves, Sheath, Velvet, Square, Puff, Midi, Plain, Burgundy, Formal
Organza ball gown with jewel neckline and embroidered bodice, Ball Gown, Organza, Jewel, Sleeveless, Floor, Embroidery, Ivory, Wedding
Sequin sheath cocktail dress with halter neckline and open back, Sheath, Sequin, Halter, Sleeveless, Short, Sparkly, Silver, Cocktail
Chiffon maxi dress with boat neckline and flutter sleeves, A-line, Chiffon, Boat, Flutter, Maxi, Plain, Lavender, Casual
Satin mermaid gown with sweetheart neckline and beaded straps, Mermaid, Satin, Sweetheart, Strap, Floor, Beaded, Champagne, Evening
Tulle princess gown with illusion neckline and floral appliqué, Ball Gown, Tulle, Illusion, Sleeveless, Floor, Appliqué, Blush, Wedding
Velvet sheath midi dress with cowl neckline and long sleeves, Sheath, Velvet, Cowl, Long, Midi, Plain, Emerald, Formal
Glitter A line gown with off shoulder neckline and layered skirt, A-line, Glitter, Off-shoulder, Sleeveless, Floor, Layered, Rose Gold, Prom
Lace cocktail dress with square neckline and cap sleeves, Sheath, Lace, Square, Cap, Short, Plain, Black, Cocktail
Chiffon bridesmaid gown with halter neckline and pleated skirt, A-line, Chiffon, Halter, Sleeveless, Floor, Pleated, Dusty Blue, Bridesmaid
Organza ball gown with sweetheart neckline and puff sleeves, Ball Gown, Organza, Sweetheart, Puff, Floor, Plain, White, Wedding
Sequin fitted gown with deep V neckline and slit, Fitted, Sequin, V-neck, Sleeveless, Floor, Sparkly, Red, Prom
Satin sheath dress with boat neckline and short sleeves, Sheath, Satin, Boat, Short, Knee, Plain, Navy, Casual
Velvet mermaid gown with square neckline and long sleeves, Mermaid, Velvet, Square, Long, Floor, Plain, Black, Evening
Tulle A line gown with sweetheart neckline and floral embroidery, A-line, Tulle, Sweetheart, Sleeveless, Floor, Embroidery, Lilac, Wedding
Chiffon cocktail dress with illusion neckline and flutter sleeves, Sheath, Chiffon, Illusion, Flutter, Short, Plain, Coral, Cocktail
Glitter ball gown with strapless neckline and corset bodice, Ball Gown, Glitter, Strapless, Sleeveless, Floor, Corset, Silver, Prom
Lace sheath midi dress with round neckline and cap sleeves, Sheath, Lace, Round, Cap, Midi, Plain, White, Casual
